FID,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,brightness,wetness,greenness,fanzhaolv,VIGS,BCI,EVI1,EVI2,LSWI,GNDVI,MTCI,PSSRA,IRECI,MCARI1,MCARI2,MCARI3,Rededge,CIrededge,CIg,RDVI,NDRE1,NDRE2,DVI,mNDVI,SR,DVIre,NDVIre,NDI45,NDVI1,NDVI2,NDVI3,RDVI0,RDVI1,RDVI2,RDVI3,NDVIre1n,NDVIre2,NDVIre2n,NDVIre3,NDVIre3n,PSRI,MTVI,TVI,VARI,DF,IREC,SAVI,NDWI,MSI,NDII,TNDVI,NRI,MSRre,MSRren,WDVI,MSAV2,PV,IPV,TNDV,C,SMI,MI,IRIswir1,IRInir,HSI,S2,SI,GSI,GARI,CRE,ARI,GNDVI1,SIPI,CRI,SAVI0,SAVI1,SAVI2,SAVI3,OSAVI,TCARI,MCARI_OSAVI,MRAI2,GDVI,VH,VV,VH_LAI_soil,VV_LAI_soil,VH_LAI_fvc_soil,VV_LAI_fvc_soil,VH_VWC_soil,VV_VWC_soil,VH_VWC_fvc_soil,VV_VWC_fvc_soil,DPSVI,RVI,Mc,TAN1,TAN2,TANc,Hc,DPDD,IDPDD,VDDPI,RVI4SI,R1,R2,R3
0,0.036943,0.057597,0.059154,0.111645,0.209217,0.233516,0.251879,0.25516,0.251799,0.177965,0.09855,0.301534,-0.120292,0.02327,0.133086,2.11403,1.023546,0.280433,0.236032,0.108921,0.461456,2.111723,2.468011,0.193875,0.000803,0.074914,0.086143,-0.061029,0.780444,1.567885,0.22727,0.22719,0.28065,0.133747,0.833845,2.608331,0.10165,0.305944,0.161773,0.445642,0.452675,0.423185,0.249574,0.181987,0.059352,0.023813,0.313919,0.084636,0.093393,0.027668,0.036485,0.072982,0.053367,0.472023,-0.034634,-181.123505,0.193875,0.250728,-0.117632,0.849363,-0.108921,0.972434,-0.019895,0.519385,0.536025,0.17535,-0.17656,0.094574,0.722821,0.408832,0.019895,0.420484,0.002142,0.575096,0.933156,2.264395,-0.087245,0.076222,0.057328,-0.119804,42.264297,1.442338,0.439404,0.519429,2.762327,0.256722,0.189279,0.062595,0.025177,0.171544,0.10506,0.502032,3.425138,0.893949,0.01287,0.065754,-0.063787,0.020336,-0.025503,0.044605,0.01099,0.075747,0.011655,0.072721,0.000315,0.566331,0.666557,1.26529,0.265291,0.753855,4.37393,-0.037395,5.74108,-0.796217,0.603899,0.203783,0.203783,1.53058
1,0.03622,0.057997,0.058274,0.108869,0.203982,0.226219,0.240573,0.246921,0.240876,0.175444,0.097612,0.294768,-0.113226,0.024236,0.128292,2.104615,1.024536,0.289797,0.239495,0.123046,0.460807,2.131825,2.562094,0.200192,0.000848,0.079648,0.090307,-0.06165,0.812954,1.568338,0.232456,0.237444,0.288917,0.134414,0.886404,2.702907,0.101818,0.313226,0.171077,0.459611,0.469759,0.438272,0.256463,0.186808,0.059935,0.025758,0.324863,0.081874,0.094737,0.026732,0.039682,0.04791,0.058312,0.479335,-0.002184,-186.136691,0.200192,0.254416,-0.135785,0.824025,-0.123046,0.979576,-0.001419,0.534633,0.559284,0.17395,-0.176473,0.095045,0.729805,0.411819,0.001419,0.419974,0.002055,0.576183,0.907898,2.31203,-0.057831,0.074587,0.037882,-0.108775,44.282934,1.416864,0.43949,0.513735,2.780668,0.263165,0.193977,0.063179,0.027221,0.178087,0.108807,0.50685,3.301176,0.889086,0.019584,0.062429,-0.066167,0.002041,-0.026181,0.030852,0.018819,0.069873,0.019046,0.067431,0.00046,0.76356,0.526754,1.46131,0.461315,0.602369,3.22615,-0.030296,5.74818,-0.68808,0.824831,0.31192,0.31192,1.92263
2,0.036788,0.057349,0.051579,0.102212,0.198427,0.216555,0.232806,0.239438,0.232674,0.16609,0.09101,0.282255,-0.096759,0.027669,0.123532,2.064253,1.028059,0.302084,0.244511,0.160821,0.462429,2.168068,2.691177,0.206417,0.000885,0.085475,0.095275,-0.061703,0.855483,1.564489,0.237693,0.25159,0.299542,0.135352,0.96069,2.855148,0.102521,0.326176,0.183621,0.480918,0.492631,0.457913,0.264333,0.192473,0.060428,0.028771,0.339836,0.081254,0.096503,0.029525,0.044874,0.016145,0.063821,0.490324,0.045725,-208.868395,0.206417,0.259773,-0.175738,0.767573,-0.160821,0.990393,0.023894,0.562031,0.591618,0.171921,-0.176292,0.095708,0.740459,0.416145,-0.023894,0.430744,0.001889,0.582369,0.836087,2.530514,-0.019678,0.071654,0.012873,-0.093245,48.113874,1.382355,0.438893,0.507495,2.805422,0.270008,0.199215,0.063621,0.03037,0.186401,0.112691,0.511051,3.214865,0.906422,0.023086,0.072758,-0.068684,0.011326,-0.027825,0.039316,0.023069,0.081965,0.023075,0.079071,0.000711,0.779211,0.514226,1.48867,0.488673,0.585324,3.25249,-0.035123,5.74335,-0.676557,0.84248,0.323443,0.323443,1.97735
3,0.037995,0.0561,0.046762,0.098351,0.190619,0.204293,0.221732,0.229183,0.222619,0.153787,0.081105,0.265628,-0.073848,0.031619,0.117542,2.059165,1.03213,0.311462,0.247632,0.220148,0.460477,2.266281,2.831352,0.21132,0.000862,0.091713,0.100054,-0.060967,0.915038,1.533132,0.241327,0.268101,0.313779,0.13488,1.039839,3.026034,0.103016,0.34339,0.192918,0.502925,0.513238,0.477717,0.268575,0.19659,0.059462,0.029614,0.355587,0.082938,0.096707,0.033202,0.047061,-0.014794,0.067804,0.501421,0.109365,-246.687138,0.21132,0.263334,-0.233329,0.684232,-0.220148,1.001442,0.05536,0.599506,0.626583,0.16825,-0.169037,0.095375,0.751462,0.418989,-0.05536,0.456564,0.001707,0.596252,0.731802,2.974046,0.01882,0.067954,-0.012091,-0.083284,53.908314,1.323442,0.433904,0.499311,2.783324,0.272415,0.202345,0.062455,0.031197,0.194997,0.116361,0.513009,3.134671,0.914866,0.019283,0.081046,-0.080106,0.021331,-0.037428,0.047947,0.01853,0.09251,0.018756,0.089227,0.00074,0.644636,0.615432,1.31414,0.31414,0.708422,3.55656,-0.043673,5.7348,-0.761569,0.690786,0.238431,0.238431,1.62828
4,0.037049,0.054341,0.0429,0.092447,0.182081,0.19416,0.213274,0.220637,0.214549,0.13776,0.068547,0.250163,-0.050851,0.035134,0.111381,2.069417,1.035764,0.319728,0.249772,0.292111,0.45785,2.593441,2.98276,0.221385,0.000728,0.101804,0.108092,-0.060651,1.03243,1.512736,0.245662,0.291713,0.340059,0.134126,1.12331,3.192043,0.105415,0.369706,0.18958,0.522661,0.526169,0.497566,0.267526,0.200303,0.055446,0.023885,0.37388,0.087468,0.092206,0.033911,0.038681,-0.04457,0.067036,0.511176,0.175617,-293.387806,0.221385,0.265878,-0.296593,0.587761,-0.292111,1.011252,0.08529,0.659047,0.668426,0.164773,-0.161225,0.094841,0.76133,0.421004,-0.08529,0.496715,0.001563,0.622093,0.619795,3.649627,0.056351,0.064811,-0.03609,-0.073725,61.049507,1.238026,0.430626,0.484135,2.715282,0.268975,0.204508,0.058043,0.025102,0.207455,0.122052,0.520749,3.155563,0.922211,0.020567,0.080245,-0.090581,0.008939,-0.04716,0.037411,0.02021,0.091264,0.020376,0.088384,0.000778,0.672153,0.594514,1.35026,0.350255,0.682507,3.49977,-0.042199,5.73628,-0.743844,0.721895,0.256156,0.256156,1.70051
5,0.047705,0.071468,0.077846,0.121069,0.186478,0.193325,0.197213,0.213127,0.214115,0.202838,0.136965,0.316659,-0.164184,-0.018914,0.123982,2.078296,0.981277,0.211859,0.172809,-0.019464,0.368514,1.96885,1.959339,0.133803,0.000563,0.052159,0.061981,-0.046605,0.528143,1.106815,0.173623,0.177641,0.208614,0.098862,0.760489,2.016909,0.0715,0.22252,0.123255,0.336433,0.353579,0.323424,0.194267,0.138312,0.04105,0.021498,0.24101,0.046728,0.066264,0.014573,0.03416,0.087073,0.039901,0.409954,-0.064667,-70.40545,0.133803,0.186786,-0.000131,1.070809,0.019464,0.914499,-0.03655,0.357116,0.39173,0.147637,-0.020937,0.069906,0.668216,0.352733,0.03655,0.401699,0.003702,0.54896,1.294928,1.783148,-0.086418,0.089425,0.05744,-0.238244,41.998969,1.378476,0.355841,0.427024,2.256774,0.199659,0.143559,0.04316,0.022647,0.134954,0.085883,0.458235,3.361567,0.723817,0.009335,0.034149,-0.002826,0.025487,0.006486,0.031339,0.008277,0.035032,0.009245,0.03374,0.000063,0.709935,0.566417,1.39628,0.39628,0.649071,3.38513,-0.017546,5.76093,-0.720658,0.764476,0.279342,0.279342,1.79256
6,0.050176,0.073496,0.084127,0.123778,0.176504,0.181978,0.188175,0.199936,0.206385,0.206038,0.142089,0.328542,-0.169892,-0.029608,0.122965,2.004485,0.970837,0.184945,0.152544,-0.032523,0.339423,1.723964,1.777179,0.112332,0.000491,0.038563,0.04853,-0.04192,0.429921,0.976699,0.152968,0.144053,0.176597,0.088913,0.665754,1.824486,0.062709,0.18915,0.108008,0.291098,0.300535,0.279186,0.167201,0.115355,0.035055,0.014674,0.199131,0.046381,0.056755,0.013008,0.023406,0.124987,0.032115,0.381193,-0.091629,-58.506019,0.112332,0.165539,0.022129,1.095397,0.032523,0.889336,-0.053514,0.297475,0.315239,0.143232,0.017978,0.062871,0.645549,0.332036,0.053514,0.423822,0.004633,0.553291,1.339052,1.82795,-0.114968,0.096675,0.076619,-0.28966,38.69217,1.382714,0.327892,0.40185,2.072228,0.172351,0.119952,0.036843,0.015452,0.11063,0.069249,0.437754,3.036094,0.666723,0.008954,0.044862,-0.001918,0.04137,0.00643,0.044696,0.007668,0.049105,0.008686,0.046556,0.000113,0.580169,0.660046,1.26012,0.260119,0.753935,3.99971,-0.025391,5.75309,-0.794553,0.618556,0.205447,0.205447,1.52024
7,0.049781,0.074125,0.089227,0.128946,0.175503,0.183516,0.191148,0.19981,0.208241,0.212426,0.148534,0.333796,-0.164458,-0.033596,0.125561,1.923911,0.96696,0.168509,0.141161,-0.021353,0.321655,1.57877,1.663594,0.098386,0.000427,0.030316,0.040159,-0.038455,0.369673,0.884937,0.138384,0.122258,0.155964,0.08344,0.595662,1.719677,0.058589,0.172182,0.096814,0.264579,0.269774,0.248997,0.152035,0.103943,0.034952,0.013974,0.177611,0.050993,0.056579,0.01666,0.02226,0.157516,0.026337,0.363698,-0.104214,-54.881574,0.098386,0.153496,0.015755,1.079138,0.021353,0.874397,-0.062385,0.267632,0.276987,0.141431,0.038432,0.059001,0.63229,0.319878,0.062385,0.447707,0.005217,0.557496,1.310113,1.940788,-0.139189,0.100809,0.092621,-0.325295,36.824821,1.37605,0.306617,0.394182,1.970545,0.157192,0.108303,0.036736,0.014717,0.094638,0.05807,0.424086,2.774273,0.642199,0.012433,0.066148,0.003146,0.072487,0.010464,0.07175,0.011759,0.078116,0.012431,0.073078,0.000378,0.548453,0.681261,1.23809,0.238087,0.77385,4.27053,-0.037982,5.7405,-0.809413,0.58317,0.190587,0.190587,1.47617
8,0.048511,0.075851,0.0898,0.1307,0.176219,0.181954,0.194797,0.200233,0.20794,0.210689,0.146896,0.310461,-0.136905,-0.021874,0.126268,1.941949,0.978408,0.182627,0.152102,0.026726,0.335103,1.829171,1.748299,0.103366,0.000376,0.035935,0.044316,-0.038817,0.434386,0.902459,0.145069,0.14094,0.177809,0.087787,0.664143,1.847355,0.064971,0.203966,0.098374,0.29624,0.300795,0.271324,0.164229,0.118149,0.042136,0.019738,0.208761,0.064997,0.069995,0.027212,0.032229,0.131949,0.02904,0.384324,-0.072254,-72.168119,0.103366,0.165254,-0.031737,1.00236,-0.026726,0.892152,-0.04289,0.324212,0.332874,0.140337,0.026058,0.062075,0.64812,0.331691,0.04289,0.452312,0.004364,0.547671,1.172683,2.150754,-0.118654,0.093101,0.078483,-0.302841,43.312214,1.327827,0.310773,0.405298,2.029912,0.168492,0.122246,0.044114,0.020718,0.105869,0.066225,0.418617,2.663274,0.649173,0.019473,0.085278,-0.003986,0.08892,0.010919,0.090879,0.019565,0.102615,0.019662,0.096261,0.000866,0.632053,0.622457,1.31702,0.317015,0.711424,3.77856,-0.046531,5.73195,-0.764592,0.676848,0.235408,0.235408,1.63403
9,0.037713,0.059719,0.059282,0.108854,0.206936,0.229781,0.248614,0.249673,0.248812,0.170066,0.091433,0.297841,-0.107864,0.0306,0.131008,2.142581,1.031076,0.301896,0.252057,0.153196,0.473607,2.181974,2.66828,0.218249,0.000941,0.088125,0.099465,-0.065658,0.858656,1.662587,0.244356,0.248661,0.300355,0.142152,0.877891,2.805839,0.10787,0.323054,0.17881,0.474445,0.482211,0.454729,0.265913,0.193152,0.058428,0.023228,0.332047,0.080887,0.090888,0.025137,0.035204,0.052775,0.061907,0.487048,0.00203,-193.697261,0.218249,0.266648,-0.163019,0.772227,-0.153196,0.987137,0.001072,0.555294,0.574588,0.181526,-0.213333,0.100516,0.737223,0.421619,-0.001072,0.422937,0.001936,0.598006,0.853241,2.360195,-0.067107,0.073617,0.043761,-0.092358,42.141969,1.43268,0.453877,0.532115,2.856854,0.27354,0.201023,0.061692,0.024578,0.188288,0.115781,0.528218,3.344266,0.890769,0.014483,0.052278,-0.05458,0.000663,-0.018729,0.027286,0.013219,0.05626,0.013766,0.054271,0.000239,0.709923,0.567307,1.3894,0.389396,0.652198,3.3236,-0.026725,5.75175,-0.722452,0.764382,0.277548,0.277548,1.77879
