FID,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,brightness,wetness,greenness,fanzhaolv,VIGS,BCI,EVI1,EVI2,LSWI,GNDVI,MTCI,PSSRA,IRECI,MCARI1,MCARI2,MCARI3,Rededge,CIrededge,CIg,RDVI,NDRE1,NDRE2,DVI,mNDVI,SR,DVIre,NDVIre,NDI45,NDVI1,NDVI2,NDVI3,RDVI0,RDVI1,RDVI2,RDVI3,NDVIre1n,NDVIre2,NDVIre2n,NDVIre3,NDVIre3n,PSRI,MTVI,TVI,VARI,DF,IREC,SAVI,NDWI,MSI,NDII,TNDVI,NRI,MSRre,MSRren,WDVI,MSAV2,PV,IPV,TNDV,C,SMI,MI,IRIswir1,IRInir,HSI,S2,SI,GSI,GARI,CRE,ARI,GNDVI1,SIPI,CRI,SAVI0,SAVI1,SAVI2,SAVI3,OSAVI,TCARI,MCARI_OSAVI,MRAI2,GDVI,VH,VV,VH_LAI_soil,VV_LAI_soil,VH_LAI_fvc_soil,VV_LAI_fvc_soil,VH_VWC_soil,VV_VWC_soil,VH_VWC_fvc_soil,VV_VWC_fvc_soil,DPSVI,RVI,Mc,TAN1,TAN2,TANc,Hc,DPDD,IDPDD,VDDPI,RVI4SI,R1,R2,R3
0,0.039243,0.059711,0.054929,0.110525,0.221704,0.240022,0.265889,0.28521,0.279934,0.219275,0.124693,0.353386,-0.149758,0.061844,0.143803,2.101887,1.06384,0.453984,0.357407,0.129697,0.533382,2.355816,3.621183,0.354966,0.00194,0.162363,0.175237,-0.090552,1.14677,1.989795,0.320388,0.323885,0.364317,0.206072,1.049933,3.982703,0.158654,0.404713,0.255371,0.598124,0.617561,0.566846,0.371545,0.275247,0.089181,0.05759,0.430168,0.093056,0.123523,0.047411,0.078118,-0.021487,0.105004,0.546826,0.184818,-319.729737,0.354966,0.365955,-0.159876,0.847163,-0.129697,1.047892,0.095254,0.74208,0.806155,0.240635,-0.514382,0.145715,0.799062,0.493838,-0.095254,0.383098,0.001558,0.650203,0.881571,1.928452,0.034403,0.071543,-0.021698,0.067411,34.329466,1.392727,0.498616,0.595899,3.497066,0.388972,0.290469,0.094559,0.061023,0.256651,0.16519,0.682065,2.411865,0.918081,0.013444,0.060463,-0.098228,-0.01888,-0.053286,0.01399,0.010885,0.067824,0.011454,0.06589,0.000298,0.616709,0.633979,1.29667,0.29667,0.725374,3.79976,-0.033247,5.74523,-0.774286,0.659573,0.225714,0.225714,1.59334
1,0.040676,0.06076,0.05302,0.114061,0.240343,0.254304,0.2848,0.304739,0.295328,0.22343,0.123457,0.360076,-0.148474,0.06868,0.151264,2.11113,1.07113,0.476771,0.373999,0.145325,0.543258,2.281988,3.770596,0.370077,0.002139,0.164961,0.178121,-0.094256,1.17851,2.04535,0.330828,0.32494,0.370723,0.216638,1.060866,4.184016,0.166929,0.414684,0.267502,0.614019,0.631566,0.5806,0.383955,0.283708,0.096337,0.060123,0.438131,0.103726,0.131987,0.051952,0.080484,-0.026915,0.111324,0.554071,0.207449,-344.475023,0.370077,0.381027,-0.173256,0.828067,-0.145325,1.055463,0.106267,0.76663,0.826691,0.25067,-0.564907,0.153186,0.80701,0.503975,-0.106267,0.384706,0.001497,0.667507,0.851328,1.94423,0.043736,0.071106,-0.027465,0.088587,33.102842,1.397972,0.505579,0.604561,3.578462,0.402635,0.299752,0.102127,0.063672,0.258439,0.167131,0.689005,2.455346,0.932221,0.016569,0.07324,-0.108402,-0.007169,-0.06323,0.023493,0.013853,0.084979,0.01425,0.082585,0.000511,0.623755,0.627218,1.31804,0.318043,0.713785,3.9034,-0.040072,5.7384,-0.766816,0.66762,0.233184,0.233184,1.63609
2,0.040565,0.061912,0.051263,0.115386,0.247736,0.269791,0.302388,0.3188,0.306616,0.227599,0.12139,0.358269,-0.145972,0.067625,0.15766,2.060271,1.069996,0.47538,0.371675,0.149036,0.540876,2.166083,3.782089,0.363298,0.002177,0.153903,0.166896,-0.094633,1.176991,2.050822,0.331809,0.314809,0.37046,0.21504,1.066308,4.161092,0.164887,0.410863,0.269302,0.612378,0.626788,0.58171,0.37856,0.277081,0.096528,0.052883,0.430134,0.11032,0.133403,0.047668,0.071014,-0.029469,0.112278,0.553336,0.2099,-337.601665,0.363298,0.378958,-0.171859,0.81477,-0.149036,1.054689,0.106962,0.757079,0.805954,0.24906,-0.557084,0.152056,0.806189,0.502615,-0.106962,0.386884,0.001515,0.667993,0.846105,1.961889,0.046856,0.071305,-0.029449,0.086375,32.886986,1.40142,0.506268,0.597501,3.517692,0.396576,0.292609,0.102352,0.056015,0.249497,0.161783,0.668529,2.521628,0.943986,0.017702,0.078828,-0.106721,-0.001279,-0.061923,0.028464,0.01568,0.089683,0.016002,0.08712,0.000632,0.621926,0.629586,1.3094,0.309401,0.718833,3.8386,-0.043222,5.73525,-0.769837,0.665368,0.230163,0.230163,1.6188
3,0.039616,0.061095,0.051349,0.112889,0.235743,0.271595,0.298493,0.309304,0.301925,0.227732,0.121524,0.358984,-0.145911,0.065298,0.155929,2.010911,1.067505,0.470563,0.366445,0.145543,0.535526,2.122499,3.748484,0.360942,0.002163,0.147523,0.160486,-0.095577,1.179684,2.05707,0.33261,0.307479,0.371004,0.212377,1.065883,4.054117,0.162328,0.404255,0.264586,0.604188,0.616303,0.578766,0.37113,0.269992,0.093319,0.04346,0.420292,0.110512,0.129561,0.039122,0.058402,-0.029056,0.111312,0.549624,0.199786,-330.675385,0.360942,0.374111,-0.164402,0.806671,-0.145543,1.0508,0.10155,0.740718,0.780707,0.247156,-0.545425,0.150173,0.802094,0.499395,-0.10155,0.393195,0.001602,0.664715,0.851674,1.994135,0.045106,0.072768,-0.028443,0.081434,32.084433,1.40253,0.507031,0.587559,3.436513,0.388616,0.285052,0.09896,0.046035,0.243767,0.15943,0.658189,2.574921,0.942406,0.016802,0.082842,-0.103723,0.001723,-0.058847,0.031264,0.015776,0.090129,0.016101,0.08747,0.000668,0.578132,0.661786,1.25665,0.256648,0.756447,3.9879,-0.046697,5.73178,-0.796179,0.616185,0.203821,0.203821,1.5133
4,0.039925,0.061288,0.051929,0.112256,0.232603,0.276604,0.298282,0.306294,0.30298,0.230822,0.121448,0.356861,-0.151639,0.057523,0.156287,1.999228,1.059244,0.449868,0.349283,0.120537,0.525268,2.109823,3.543607,0.337165,0.001944,0.135262,0.147899,-0.091613,1.132652,1.990979,0.320133,0.295395,0.361476,0.20224,1.059013,3.807511,0.154632,0.392273,0.248206,0.58353,0.600456,0.559366,0.360813,0.26468,0.096393,0.045556,0.414035,0.109581,0.13515,0.035889,0.061786,-0.025595,0.103583,0.540116,0.166321,-307.245238,0.337165,0.358316,-0.146052,0.843745,-0.120537,1.040907,0.084211,0.711743,0.764943,0.238295,-0.498287,0.143005,0.791765,0.488688,-0.084211,0.39438,0.001747,0.644902,0.897705,1.974109,0.037774,0.074883,-0.024043,0.063338,32.738047,1.402466,0.498784,0.575802,3.384551,0.377683,0.279309,0.102231,0.048276,0.233003,0.152522,0.634094,2.521667,0.941152,0.016199,0.082218,-0.097939,0.006354,-0.053368,0.035336,0.015581,0.089836,0.015926,0.08704,0.000635,0.566264,0.669831,1.24769,0.247694,0.764265,4.08202,-0.046682,5.73179,-0.801943,0.602925,0.198057,0.198057,1.49539
5,0.041346,0.06175,0.054377,0.112678,0.227149,0.267956,0.290799,0.305485,0.30026,0.236699,0.124265,0.345034,-0.161595,0.042422,0.155042,1.971784,1.043377,0.404082,0.31466,0.070951,0.507846,2.051718,3.190864,0.284235,0.001524,0.110381,0.122132,-0.081198,1.027397,1.84855,0.291085,0.271576,0.339136,0.180391,1.04178,3.43349,0.137944,0.371182,0.222339,0.548063,0.57585,0.521888,0.340777,0.254109,0.104124,0.054982,0.405563,0.110781,0.150518,0.036662,0.076964,-0.017768,0.088314,0.523402,0.111025,-260.339669,0.284235,0.326263,-0.111065,0.934866,-0.070951,1.023708,0.056046,0.662245,0.743966,0.217487,-0.394051,0.127556,0.774031,0.466209,-0.056046,0.383423,0.001886,0.604813,0.999923,1.872321,0.024136,0.076002,-0.015575,0.02172,36.351451,1.405079,0.480121,0.55959,3.322625,0.355779,0.267544,0.110397,0.058305,0.210182,0.134708,0.579153,2.430957,0.932105,0.014607,0.075269,-0.089339,0.004865,-0.045225,0.034204,0.013751,0.082092,0.014202,0.079375,0.000485,0.55846,0.675084,1.24195,0.241954,0.769301,4.14894,-0.042894,5.73558,-0.805676,0.594222,0.194324,0.194324,1.48391
6,0.042655,0.061606,0.056687,0.111552,0.219022,0.254469,0.281168,0.304622,0.296274,0.244388,0.128417,0.336459,-0.174828,0.030838,0.153198,1.92258,1.03133,0.369757,0.28992,0.022479,0.495814,1.826529,2.984374,0.24387,0.001373,0.086474,0.097897,-0.074117,0.932009,1.765156,0.271675,0.243269,0.317751,0.164519,1.024469,3.202333,0.123827,0.349039,0.214067,0.523951,0.555536,0.497941,0.322166,0.237994,0.107001,0.055454,0.387569,0.11558,0.15933,0.035206,0.07965,-0.010345,0.081229,0.511822,0.075182,-225.07919,0.24387,0.303146,-0.06696,1.02656,-0.022479,1.011898,0.038054,0.612002,0.700627,0.20187,-0.3177,0.116333,0.761976,0.449518,-0.038054,0.365753,0.001931,0.574074,1.109943,1.728608,0.01305,0.075683,-0.008509,-0.010999,38.886548,1.431607,0.468797,0.546479,3.243918,0.335087,0.249933,0.113332,0.058808,0.185156,0.115162,0.527404,2.347111,0.921775,0.012253,0.069757,-0.086882,-0.000287,-0.043077,0.029647,0.010835,0.074405,0.011441,0.071914,0.000347,0.520808,0.700238,1.21528,0.215281,0.792964,4.48486,-0.040662,5.73782,-0.823345,0.552285,0.176655,0.176655,1.43056
7,0.043238,0.061009,0.058057,0.113451,0.212648,0.249343,0.275463,0.298868,0.291494,0.257457,0.137286,0.340189,-0.189938,0.026264,0.153205,1.92302,1.026614,0.358855,0.283901,-0.007214,0.493281,1.57164,2.910632,0.227057,0.001491,0.07171,0.083619,-0.072604,0.865541,1.748101,0.266338,0.219736,0.301986,0.161223,1.000208,3.121238,0.118626,0.333393,0.218817,0.514667,0.540397,0.488522,0.310826,0.222862,0.104589,0.048659,0.364702,0.122633,0.15763,0.034924,0.07052,0.000014,0.082719,0.507276,0.055867,-206.576873,0.227057,0.297359,-0.02847,1.088262,0.007214,1.007304,0.02868,0.57755,0.647337,0.199237,-0.302881,0.114002,0.757334,0.445239,-0.02868,0.352933,0.001962,0.566715,1.184498,1.606173,0.000054,0.076025,-0.000032,-0.021552,38.122882,1.473387,0.466392,0.5404,3.16531,0.322774,0.233885,0.110709,0.051595,0.166989,0.101931,0.500372,2.255964,0.914884,0.011694,0.065371,-0.077351,0.003983,-0.035691,0.032336,0.00999,0.070899,0.010667,0.068389,0.00029,0.528258,0.69544,1.21978,0.219775,0.788819,4.39781,-0.037956,5.74052,-0.82014,0.560515,0.17986,0.17986,1.43955
8,0.042995,0.06266,0.063135,0.120804,0.20933,0.248397,0.272862,0.291536,0.286715,0.281683,0.155153,0.350838,-0.199963,0.02404,0.156108,1.971945,1.024335,0.352842,0.282345,-0.015882,0.488447,1.655147,2.799937,0.225427,0.001394,0.073192,0.085165,-0.072242,0.847402,1.698618,0.261526,0.218773,0.297587,0.162118,0.958245,3.018979,0.120789,0.33157,0.204722,0.502168,0.524718,0.473412,0.30512,0.220912,0.101482,0.047426,0.358556,0.121615,0.151677,0.037702,0.068251,0.01871,0.078377,0.501058,0.034641,-190.856965,0.225427,0.295509,-0.014752,1.113335,0.015882,1.001071,0.018252,0.573553,0.633146,0.202327,-0.310825,0.114635,0.751084,0.443848,-0.018252,0.354791,0.002125,0.573621,1.210886,1.567903,-0.022507,0.078593,0.014712,-0.028891,36.533295,1.460778,0.459192,0.540906,3.093839,0.317527,0.232103,0.107471,0.050294,0.167702,0.104836,0.507585,2.141179,0.898108,0.013155,0.057074,-0.060267,0.006072,-0.022906,0.032376,0.011837,0.062957,0.012448,0.060646,0.000248,0.634572,0.621476,1.31167,0.311666,0.712373,3.68871,-0.031055,5.74742,-0.764971,0.679674,0.235029,0.235029,1.62333
9,0.044047,0.06656,0.071421,0.126379,0.215421,0.250602,0.279653,0.295433,0.291783,0.302145,0.170953,0.361476,-0.206782,0.016106,0.162861,2.009429,1.016252,0.33523,0.269386,-0.023803,0.467914,1.966593,2.592288,0.220161,0.00111,0.080266,0.091704,-0.069643,0.81904,1.563396,0.248267,0.224961,0.290457,0.156788,0.912089,2.792098,0.119728,0.324066,0.174714,0.471882,0.499263,0.442545,0.295521,0.221458,0.096388,0.050933,0.355713,0.106903,0.142125,0.0371,0.072764,0.038156,0.067874,0.485638,0.009836,-160.950374,0.220161,0.282568,-0.011965,1.129866,0.023803,0.985793,0.005251,0.557521,0.626762,0.200703,-0.291223,0.110866,0.735941,0.43397,-0.005251,0.36745,0.002566,0.580494,1.242947,1.574788,-0.044556,0.083957,0.029184,-0.052615,35.266606,1.408942,0.43844,0.532117,2.965201,0.308546,0.232998,0.102144,0.05402,0.174374,0.114424,0.525738,2.021657,0.877568,0.015144,0.04979,-0.041506,0.008929,-0.010191,0.031886,0.014576,0.054918,0.015042,0.052849,0.000221,0.755898,0.533649,1.43974,0.439743,0.613485,3.14154,-0.024498,5.75398,-0.695455,0.816239,0.304545,0.304545,1.87949
