FID,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,brightness,wetness,greenness,fanzhaolv,VIGS,BCI,EVI1,EVI2,LSWI,GNDVI,MTCI,PSSRA,IRECI,MCARI1,MCARI2,MCARI3,Rededge,CIrededge,CIg,RDVI,NDRE1,NDRE2,DVI,mNDVI,SR,DVIre,NDVIre,NDI45,NDVI1,NDVI2,NDVI3,RDVI0,RDVI1,RDVI2,RDVI3,NDVIre1n,NDVIre2,NDVIre2n,NDVIre3,NDVIre3n,PSRI,MTVI,TVI,VARI,DF,IREC,SAVI,NDWI,MSI,NDII,TNDVI,NRI,MSRre,MSRren,WDVI,MSAV2,PV,IPV,TNDV,C,SMI,MI,IRIswir1,IRInir,HSI,S2,SI,GSI,GARI,CRE,ARI,GNDVI1,SIPI,CRI,SAVI0,SAVI1,SAVI2,SAVI3,OSAVI,TCARI,MCARI_OSAVI,MRAI2,GDVI,VH,VV,VH_LAI_soil,VV_LAI_soil,VH_LAI_fvc_soil,VV_LAI_fvc_soil,VH_VWC_soil,VV_VWC_soil,VH_VWC_fvc_soil,VV_VWC_fvc_soil,DPSVI,RVI,Mc,TAN1,TAN2,TANc,Hc,DPDD,IDPDD,VDDPI,RVI4SI,R1,R2,R3
0,0.03706,0.058621,0.049533,0.108227,0.22166,0.258089,0.27136,0.275751,0.274076,0.195095,0.091812,0.310526,-0.127935,0.03607,0.140004,0.146207,1.036738,0.355041,0.278975,0.098441,0.490531,1.923001,3.071768,0.247139,0.00116,0.084648,0.095081,-0.07463,1.021355,1.834813,0.275278,0.246494,0.337743,0.15658,1.033705,3.172336,0.119233,0.352056,0.205766,0.519984,0.527854,0.508013,0.291991,0.211923,0.081456,0.018311,0.361577,0.115605,0.126392,0.016216,0.02716,-0.013712,0.075038,0.509804,0.079833,-279.447414,0.247139,0.292992,-0.109274,0.847833,-0.098441,1.009898,0.039728,0.618771,0.640378,0.192851,-0.277726,0.110719,0.759992,0.441941,-0.039728,0.412186,0.001869,0.576423,0.92978,2.255308,0.017466,0.073693,-0.011292,-0.025919,41.31481,1.402406,0.478078,0.515381,2.992972,0.300543,0.220842,0.086012,0.019397,0.184425,0.112635,0.515126,1.843692,0.935371,0.021838,0.079383,-0.090833,0.006224,-0.047617,0.035064,0.022602,0.091482,0.022647,0.088663,0.000854,0.71079,0.567692,1.38152,0.381517,0.655146,3.24785,-0.040691,5.73779,-0.724096,0.765323,0.275904,0.275904,1.76303
1,0.037817,0.058195,0.048979,0.107484,0.222531,0.26042,0.278447,0.28155,0.274994,0.196408,0.092455,0.303032,-0.122243,0.037992,0.142955,0.096481,1.038735,0.354747,0.280479,0.111665,0.496779,2.062728,3.058144,0.243104,0.001088,0.090671,0.100791,-0.071505,1.012738,1.801341,0.269174,0.259097,0.336054,0.156314,1.036649,3.247235,0.12027,0.362537,0.205777,0.528845,0.539131,0.506671,0.296344,0.218102,0.082407,0.029791,0.374954,0.11417,0.128364,0.030187,0.04457,-0.015089,0.07337,0.514192,0.086939,-281.545515,0.243104,0.294663,-0.125872,0.849045,-0.111665,1.014305,0.043467,0.642412,0.671122,0.191152,-0.274093,0.110531,0.764423,0.443195,-0.043467,0.404941,0.001697,0.57865,0.907002,2.25378,0.019039,0.070978,-0.012337,-0.025032,44.521346,1.391824,0.473764,0.525464,3.064583,0.304588,0.226982,0.086993,0.031548,0.192581,0.115946,0.522354,1.848918,0.939651,0.017253,0.05664,-0.111799,-0.044316,-0.067577,-0.009474,0.016131,0.063209,0.016416,0.061733,0.000358,0.765488,0.526,1.45724,0.457238,0.603155,3.17721,-0.027851,5.75063,-0.688385,0.827014,0.311615,0.311615,1.91448
2,0.038651,0.059709,0.047482,0.104856,0.236846,0.274036,0.2998,0.306738,0.289752,0.196116,0.08853,0.315702,-0.121992,0.048362,0.150592,0.155859,1.0496,0.388357,0.305365,0.137588,0.521667,2.338176,3.147051,0.27042,0.001115,0.112809,0.123762,-0.074789,1.063222,1.887447,0.277983,0.286212,0.346788,0.172262,1.043551,3.473696,0.135759,0.388955,0.207306,0.551407,0.561902,0.516677,0.317662,0.239751,0.086733,0.043808,0.401723,0.115707,0.130565,0.048854,0.063894,-0.018738,0.073988,0.524936,0.086042,-316.925922,0.27042,0.317979,-0.152381,0.836481,-0.137588,1.025307,0.042267,0.70451,0.735132,0.207191,-0.351132,0.121808,0.775704,0.460178,-0.042267,0.409089,0.001617,0.608539,0.856957,2.285427,0.025893,0.071673,-0.016881,0.0147,42.91216,1.399616,0.485283,0.544282,3.282473,0.328643,0.250655,0.091796,0.046435,0.216148,0.130763,0.57033,1.917311,0.950675,0.013819,0.041134,-0.119174,-0.072604,-0.074542,-0.034329,0.011593,0.044022,0.01205,0.043287,0.000138,0.803181,0.49679,1.51432,0.51432,0.565588,3.17283,-0.019315,5.75916,-0.662706,0.869507,0.337294,0.337294,2.02864
3,0.043071,0.06308,0.057038,0.11128,0.213511,0.234526,0.245937,0.269097,0.261181,0.192571,0.092953,0.290377,-0.128574,0.016271,0.133606,0.476449,1.01641,0.291929,0.229021,0.048723,0.451925,2.316924,2.621486,0.198465,0.000653,0.077443,0.086397,-0.060574,0.897054,1.577397,0.232694,0.24177,0.309575,0.126569,1.015144,2.696049,0.098139,0.321997,0.159949,0.458175,0.483035,0.447259,0.259892,0.197589,0.073553,0.029312,0.350403,0.087006,0.118747,0.013825,0.045876,-0.004451,0.052596,0.478523,0.017899,-210.753804,0.198465,0.244464,-0.080659,0.933172,-0.048723,0.978814,0.008129,0.55323,0.615269,0.164105,-0.135832,0.089498,0.729088,0.403678,-0.008129,0.408391,0.00215,0.529482,1.041353,2.206105,0.005395,0.075336,-0.003523,-0.096641,49.605645,1.358817,0.440855,0.479165,2.825725,0.265648,0.204299,0.077327,0.030927,0.176623,0.105984,0.488899,1.998136,0.897873,0.014136,0.055192,-0.075959,-0.011044,-0.034311,0.020018,0.013087,0.06148,0.013596,0.059495,0.000254,0.677437,0.592178,1.34458,0.34458,0.683469,3.37591,-0.029031,5.74945,-0.74381,0.727689,0.25619,0.25619,1.68916
4,0.043779,0.061173,0.050814,0.102,0.199767,0.217588,0.231958,0.251066,0.248049,0.178661,0.084269,0.264452,-0.109649,0.019853,0.126147,0.411104,1.020058,0.300299,0.231035,0.074482,0.45452,2.271114,2.847594,0.199723,0.000713,0.082927,0.090541,-0.058209,0.946753,1.561581,0.236129,0.263081,0.321153,0.123794,1.157834,2.964882,0.094785,0.339136,0.187199,0.494697,0.526715,0.479313,0.272256,0.205269,0.076197,0.039398,0.377071,0.083464,0.12659,0.020178,0.063702,-0.052368,0.061339,0.497231,0.114454,-250.549563,0.199723,0.247353,-0.117553,0.898849,-0.074482,0.99729,0.052159,0.590117,0.676133,0.15553,-0.113704,0.087536,0.747349,0.40606,-0.052159,0.401115,0.001712,0.515049,0.982266,2.350152,0.062229,0.067413,-0.04081,-0.081281,60.579105,1.316047,0.438348,0.480605,2.910697,0.275119,0.210456,0.079773,0.04141,0.18615,0.10697,0.485779,2.078731,0.908134,0.01361,0.054451,-0.0837,-0.017269,-0.040646,0.015119,0.01212,0.061059,0.012665,0.05919,0.000237,0.667723,0.598969,1.33643,0.336429,0.690504,3.43562,-0.028879,5.7496,-0.748862,0.716759,0.251138,0.251138,1.67286
5,0.047472,0.064411,0.052347,0.1051,0.210868,0.232001,0.248756,0.258562,0.25799,0.167366,0.080948,0.268715,-0.096832,0.031819,0.132624,0.299843,1.032386,0.330274,0.256128,0.137093,0.479279,2.446861,3.070337,0.23255,0.000797,0.10088,0.108931,-0.064025,1.053159,1.702341,0.254813,0.2877,0.344302,0.138423,1.14886,3.236627,0.107891,0.367115,0.19837,0.526991,0.55017,0.507876,0.288401,0.218348,0.074477,0.036915,0.395029,0.088942,0.121076,0.026197,0.058622,-0.051307,0.066187,0.51323,0.137696,-284.546303,0.23255,0.271789,-0.168896,0.801723,-0.137093,1.013359,0.063782,0.653716,0.718665,0.169342,-0.182377,0.09788,0.763496,0.425268,-0.063782,0.411904,0.001526,0.555035,0.862517,2.50997,0.063993,0.065843,-0.041772,-0.047061,57.877899,1.31582,0.458946,0.50377,3.036301,0.29261,0.224677,0.078194,0.038868,0.206498,0.118925,0.524338,2.05063,0.914608,0.014195,0.05705,-0.083281,-0.013965,-0.040437,0.017771,0.012413,0.063488,0.012944,0.061501,0.00027,0.665485,0.60037,1.33578,0.335783,0.691546,3.46013,-0.030303,5.74817,-0.749697,0.714259,0.250303,0.250303,1.67157
6,0.06206,0.08252,0.072918,0.124909,0.21821,0.244377,0.252938,0.26769,0.268892,0.200927,0.114868,0.291743,-0.136064,-0.003529,0.147114,1.169516,0.99649,0.271259,0.201962,0.016723,0.398621,1.983624,2.306704,0.154202,0.000595,0.057252,0.064375,-0.051105,0.717156,1.215106,0.200878,0.201881,0.263727,0.111291,1.127019,2.423424,0.084428,0.286316,0.146384,0.415212,0.436765,0.394811,0.230356,0.171353,0.06919,0.031271,0.310277,0.089647,0.115618,0.024486,0.0507,-0.039079,0.052638,0.455529,0.042459,-125.172296,0.154202,0.217351,-0.042946,1.016169,-0.016723,0.95662,0.020014,0.479748,0.528571,0.150475,-0.065477,0.078695,0.707606,0.380563,-0.020014,0.405986,0.002858,0.5256,1.159653,2.021074,0.037974,0.081406,-0.025307,-0.132371,52.671599,1.29037,0.377861,0.405519,2.451674,0.234189,0.176331,0.072376,0.03286,0.145733,0.090032,0.440359,2.027247,0.84638,0.018875,0.049055,-0.03202,0.008969,-0.003584,0.030622,0.017391,0.050503,0.017673,0.048656,0.000272,0.874857,0.432338,1.87373,0.873733,0.471339,2.60611,-0.02134,5.75714,-0.588057,0.946922,0.411943,0.411943,2.74746
7,0.06553,0.085136,0.079368,0.133197,0.228644,0.254193,0.263783,0.278098,0.279333,0.213658,0.128367,0.296254,-0.137877,0.00034,0.155158,0.938712,1.000343,0.275217,0.210198,0.028458,0.407457,2.19992,2.332781,0.163045,0.000569,0.064401,0.071519,-0.052646,0.750903,1.239763,0.205134,0.215087,0.27289,0.116495,1.047141,2.474568,0.09025,0.299949,0.142406,0.424199,0.436473,0.39973,0.231175,0.173693,0.063765,0.027648,0.313608,0.090727,0.10566,0.029476,0.044537,-0.015481,0.051631,0.460503,0.041338,-125.040507,0.163045,0.225542,-0.04352,1.002225,-0.028458,0.961336,0.020275,0.507087,0.53544,0.156064,-0.090873,0.082374,0.7121,0.387746,-0.020275,0.40057,0.002725,0.537427,1.134584,1.97937,0.015662,0.080351,-0.010378,-0.132612,51.581098,1.279185,0.382579,0.423747,2.448665,0.235296,0.178859,0.066789,0.029077,0.156281,0.09819,0.457471,2.041606,0.834282,0.022363,0.038498,-0.019616,-0.00231,0.005114,0.019608,0.022306,0.036623,0.022258,0.035608,0.000208,1.08467,0.253219,2.64273,1.64273,0.21912,1.25295,-0.011409,5.76707,-0.397486,1.17729,0.602514,0.602514,4.28547
8,0.068458,0.087662,0.085448,0.142515,0.243353,0.26815,0.27897,0.291619,0.294079,0.22858,0.138807,0.319502,-0.149488,-0.001017,0.164526,0.75494,0.998987,0.278896,0.214769,0.028622,0.406938,1.94814,2.255343,0.164531,0.000749,0.060364,0.069206,-0.055144,0.681042,1.238419,0.206056,0.197479,0.253508,0.122201,0.966353,2.390822,0.091886,0.28056,0.146072,0.409861,0.420665,0.385333,0.231762,0.168786,0.063203,0.02717,0.292542,0.088015,0.100926,0.029141,0.042151,0.012189,0.055232,0.452629,0.00727,-115.877857,0.164531,0.229468,-0.041633,1.001064,-0.028622,0.953839,0.003585,0.468365,0.492327,0.166317,-0.12528,0.086409,0.70493,0.391108,-0.003585,0.414513,0.003215,0.559403,1.138865,1.961942,-0.012215,0.087081,0.008124,-0.130416,43.180751,1.333564,0.382335,0.430717,2.435405,0.238286,0.175308,0.066523,0.028686,0.14802,0.095238,0.467804,1.993578,0.828213,0.020888,0.046332,-0.026945,0.001038,0.000423,0.023791,0.020565,0.043289,0.020646,0.041892,0.000292,0.971348,0.350841,2.17928,1.17928,0.356363,1.54964,-0.017992,5.76049,-0.503501,1.05346,0.496499,0.496499,3.35856
9,0.041176,0.060292,0.056069,0.11472,0.192929,0.222878,0.222004,0.231104,0.239263,0.190935,0.09713,0.255545,-0.099034,0.010915,0.124191,0.675617,1.011001,0.268369,0.206964,0.09326,0.427183,1.787862,2.656477,0.170806,0.000804,0.061732,0.069994,-0.054092,0.801861,1.461641,0.220711,0.222656,0.284682,0.11057,1.132006,2.690165,0.079458,0.290955,0.190912,0.456121,0.481602,0.45062,0.24293,0.171264,0.061849,0.023948,0.320712,0.073145,0.10589,0.006735,0.039744,-0.041422,0.062235,0.477146,0.079972,-186.41329,0.170806,0.223223,-0.125711,0.845291,-0.09326,0.977638,0.036584,0.489834,0.552303,0.143869,-0.053211,0.078185,0.728061,0.38566,-0.036584,0.41146,0.001976,0.515831,0.967911,2.41852,0.047091,0.069514,-0.030978,-0.123663,59.361358,1.368735,0.421563,0.445356,2.665845,0.243594,0.174692,0.064413,0.025076,0.157037,0.088828,0.445314,1.625958,0.880298,0.018044,0.088216,-0.043702,0.057942,-0.01126,0.073672,0.017217,0.098032,0.017542,0.093361,0.000813,0.581322,0.657834,1.26776,0.267759,0.748781,4.14369,-0.049619,5.72886,-0.791598,0.620337,0.208402,0.208402,1.53552
